pool_size,m_selected,error_stepwise,error_uniform,error_random_m
50,26,0.22,0.1,0.15200000000000002
50,5,0.14,0.1,0.24100000000000002
50,25,0.14,0.08,0.16200000000000003
50,27,0.3,0.06,0.19700000000000004
50,26,0.22,0.18,0.16300000000000003
50,4,0.2,0.14,0.26200000000000007
50,1,0.24,0.08,0.30599999999999994
50,10,0.22,0.14,0.25399999999999995
50,7,0.34,0.1,0.29100000000000004
50,4,0.26,0.2,0.27599999999999997
100,3,0.06,0.16,0.35200000000000004
100,25,0.12,0.16,0.191
100,5,0.24,0.14,0.25800000000000006
100,27,0.1,0.12,0.15500000000000003
100,11,0.1,0.08,0.236
100,27,0.14,0.08,0.16500000000000004
100,27,0.1,0.1,0.198
100,26,0.1,0.12,0.14200000000000002
100,26,0.12,0.1,0.16799999999999998
100,27,0.16,0.12,0.18700000000000003
100,26,0.22,0.08,0.17800000000000005
100,28,0.2,0.06,0.13300000000000003
100,25,0.16,0.12,0.19700000000000004
100,25,0.1,0.12,0.17700000000000002
100,27,0.2,0.14,0.207
100,25,0.12,0.18,0.20800000000000002
100,27,0.14,0.12,0.183
100,25,0.08,0.02,0.158
100,25,0.08,0.1,0.20099999999999998
100,4,0.18,0.14,0.28300000000000003
100,26,0.18,0.06,0.184
100,7,0.18,0.06,0.261
100,6,0.12,0.14,0.274
100,8,0.12,0.08,0.22000000000000003
100,27,0.1,0.06,0.144
100,27,0.2,0.18,0.197
100,25,0.06,0.12,0.15600000000000003
100,26,0.18,0.08,0.17800000000000005
100,26,0.08,0.08,0.16700000000000004
100,26,0.12,0.1,0.182
100,25,0.08,0.12,0.14800000000000002
100,28,0.14,0.14,0.17400000000000002
100,26,0.28,0.18,0.203
100,25,0.14,0.12,0.161
100,25,0.14,0.1,0.18700000000000003
100,6,0.18,0.14,0.24099999999999996
100,25,0.1,0.04,0.16200000000000003
100,26,0.18,0.2,0.205
100,8,0.18,0.18,0.267
100,28,0.16,0.12,0.17
100,3,0.22,0.22,0.31400000000000006
100,10,0.2,0.12,0.201
100,29,0.22,0.1,0.15700000000000003
100,27,0.16,0.12,0.189
100,5,0.1,0.1,0.254
100,26,0.2,0.16,0.20200000000000004
100,26,0.16,0.14,0.16899999999999998
100,27,0.24,0.1,0.16900000000000004
100,25,0.12,0.06,0.15800000000000003
100,27,0.2,0.2,0.217
