dataset,m,rep,classifier,accuracy
motivating,2,3,rf,0.7
motivating,2,3,1nn,0.7333333333333333
motivating,2,3,linear_svm,0.7
motivating,2,3,rbf_svm,0.6333333333333333
motivating,2,4,rf,0.6666666666666666
motivating,2,4,1nn,0.6666666666666666
motivating,2,4,linear_svm,0.7333333333333333
motivating,2,4,rbf_svm,0.6666666666666666
motivating,2,5,rf,0.7333333333333333
motivating,2,5,1nn,0.5333333333333333
motivating,2,5,linear_svm,0.7333333333333333
motivating,2,5,rbf_svm,0.6666666666666666
motivating,2,6,rf,0.7666666666666667
motivating,2,6,1nn,0.8333333333333334
motivating,2,6,linear_svm,0.7666666666666667
motivating,2,6,rbf_svm,0.7333333333333333
motivating,2,7,rf,0.6333333333333333
motivating,2,7,1nn,0.6666666666666666
motivating,2,7,linear_svm,0.8666666666666667
motivating,2,7,rbf_svm,0.6666666666666666
motivating,2,8,rf,0.5333333333333333
motivating,2,8,1nn,0.5666666666666667
motivating,2,8,linear_svm,0.5333333333333333
motivating,2,8,rbf_svm,0.6
motivating,2,9,rf,0.7666666666666667
motivating,2,9,1nn,0.7666666666666667
motivating,2,9,linear_svm,0.7
motivating,2,9,rbf_svm,0.7666666666666667
motivating,2,10,rf,0.7
motivating,2,10,1nn,0.7
motivating,2,10,linear_svm,0.8666666666666667
motivating,2,10,rbf_svm,0.7333333333333333
motivating,2,11,rf,0.7333333333333333
motivating,2,11,1nn,0.7666666666666667
motivating,2,11,linear_svm,0.8
motivating,2,11,rbf_svm,0.8333333333333334
motivating,2,12,rf,0.8
motivating,2,12,1nn,0.7666666666666667
motivating,2,12,linear_svm,0.8
motivating,2,12,rbf_svm,0.8333333333333334
motivating,2,13,rf,0.8666666666666667
motivating,2,13,1nn,0.8666666666666667
motivating,2,13,linear_svm,0.9666666666666667
motivating,2,13,rbf_svm,0.9666666666666667
motivating,2,14,rf,0.6333333333333333
motivating,2,14,1nn,0.6333333333333333
motivating,2,14,linear_svm,0.6
motivating,2,14,rbf_svm,0.6333333333333333
motivating,2,15,rf,0.7333333333333333
motivating,2,15,1nn,0.7
motivating,2,15,linear_svm,0.7333333333333333
motivating,2,15,rbf_svm,0.7
motivating,2,16,rf,0.7
motivating,2,16,1nn,0.7
motivating,2,16,linear_svm,0.6333333333333333
motivating,2,16,rbf_svm,0.6333333333333333
motivating,2,17,rf,0.6
motivating,2,17,1nn,0.6
motivating,2,17,linear_svm,0.5333333333333333
motivating,2,17,rbf_svm,0.5666666666666667
motivating,2,18,rf,0.4666666666666667
motivating,2,18,1nn,0.7666666666666667
motivating,2,18,linear_svm,0.6
motivating,2,18,rbf_svm,0.7333333333333333
motivating,2,19,rf,0.5666666666666667
motivating,2,19,1nn,0.5
motivating,2,19,linear_svm,0.6666666666666666
motivating,2,19,rbf_svm,0.6333333333333333
motivating,2,20,rf,0.7333333333333333
motivating,2,20,1nn,0.7
motivating,2,20,linear_svm,0.7666666666666667
motivating,2,20,rbf_svm,0.7666666666666667
motivating,2,21,rf,0.6
motivating,2,21,1nn,0.7
motivating,2,21,linear_svm,0.7
motivating,2,21,rbf_svm,0.7333333333333333
motivating,2,22,rf,0.8333333333333334
motivating,2,22,1nn,0.8333333333333334
motivating,2,22,linear_svm,0.8666666666666667
motivating,2,22,rbf_svm,0.8333333333333334
motivating,2,23,rf,0.8333333333333334
motivating,2,23,1nn,0.8333333333333334
motivating,2,23,linear_svm,0.8333333333333334
motivating,2,23,rbf_svm,0.8333333333333334
motivating,2,24,rf,0.7666666666666667
motivating,2,24,1nn,0.7666666666666667
motivating,2,24,linear_svm,0.7666666666666667
motivating,2,24,rbf_svm,0.7666666666666667
motivating,2,25,rf,0.7666666666666667
motivating,2,25,1nn,0.8666666666666667
motivating,2,25,linear_svm,0.6666666666666666
motivating,2,25,rbf_svm,0.7
motivating,2,26,rf,0.9
motivating,2,26,1nn,0.8
motivating,2,26,linear_svm,0.9
motivating,2,26,rbf_svm,0.8666666666666667
motivating,2,27,rf,0.7333333333333333
motivating,2,27,1nn,0.7
motivating,2,27,linear_svm,0.7666666666666667
motivating,2,27,rbf_svm,0.8
motivating,2,28,rf,0.7333333333333333
motivating,2,28,1nn,0.7333333333333333
motivating,2,28,linear_svm,0.7666666666666667
motivating,2,28,rbf_svm,0.8
motivating,2,29,rf,0.9
motivating,2,29,1nn,0.8666666666666667
motivating,2,29,linear_svm,0.9
motivating,2,29,rbf_svm,0.9
motivating,2,30,rf,0.8333333333333334
motivating,2,30,1nn,0.8
motivating,2,30,linear_svm,0.7333333333333333
motivating,2,30,rbf_svm,0.7333333333333333
motivating,2,31,rf,0.7333333333333333
motivating,2,31,1nn,0.7
motivating,2,31,linear_svm,0.7666666666666667
motivating,2,31,rbf_svm,0.8333333333333334
motivating,2,32,rf,0.7666666666666667
motivating,2,32,1nn,0.6666666666666666
